Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample13087_S49_L001_R1_001	(1.0, 4.993537696768848)	(2.0, 1.6132560066280035)	(3.0, 0.9146644573322286)	(4.0, 0.6654515327257663)	(5.0, 0.503728251864126)	(6.0, 0.4294946147473074)	(7.0, 0.347970173985087)	(8.0, 0.36056338028169016)	(9.0, 0.30422535211267604)	('>10', 6.60149130074565)	('>50', 3.8806959403479704)	('>100', 19.15161557580779)	('>500', 9.804142502071251)	('>1k', 35.774647887323944)	('>5k', 14.654515327257664)	('>10k+', 0.0)
sample13087_S49_L001_R2_001	(1.0, 12.911350455675228)	(2.0, 2.512013256006628)	(3.0, 1.4654515327257664)	(4.0, 1.1903893951946976)	(5.0, 0.9643744821872411)	(6.0, 0.7516155758077879)	(7.0, 0.5938690969345485)	(8.0, 0.699917149958575)	(9.0, 0.6382767191383596)	('>10', 14.580944490472245)	('>50', 9.573487986743993)	('>100', 46.036122618061306)	('>500', 8.08218724109362)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13088_S50_L001_R1_001	(1.0, 5.41994750656168)	(2.0, 1.6952292728114868)	(3.0, 0.9263547938860583)	(4.0, 0.6515362050331943)	(5.0, 0.4863362667901806)	(6.0, 0.5882352941176471)	(7.0, 0.3458391230507951)	(8.0, 0.333487725798981)	(9.0, 0.30569708198239925)	('>10', 7.2757449436467505)	('>50', 4.8865215377489575)	('>100', 20.331171838814267)	('>500', 11.454377026401112)	('>1k', 45.29952138335649)	('>5k', 0.0)	('>10k+', 0.0)
sample13088_S50_L001_R2_001	(1.0, 14.710514126910606)	(2.0, 2.715763470742628)	(3.0, 1.5099583140342752)	(4.0, 1.1270649992280377)	(5.0, 0.9147753589624826)	(6.0, 0.8800370541917555)	(7.0, 0.7078894549945962)	(8.0, 0.7534352323606608)	(9.0, 0.7017137563686892)	('>10', 15.929442643199012)	('>50', 11.742318974834028)	('>100', 42.13138798826617)	('>500', 6.175698625907056)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13225_S41_L001_R1_001	(1.0, 3.4577363584897443)	(2.0, 1.1322562382963899)	(3.0, 0.7446762182641641)	(4.0, 0.5399991290336629)	(5.0, 0.4463702477899229)	(6.0, 0.365805861603449)	(7.0, 0.28197535165265863)	(8.0, 0.3135478813743849)	(9.0, 0.3135478813743849)	('>10', 5.410878369551017)	('>50', 4.361363933283979)	('>100', 9.038453163785219)	('>500', 14.819492226625442)	('>1k', 21.22980446805731)	('>5k', 5.920393676784393)	('>10k+', 31.623698994033884)
sample13225_S41_L001_R2_001	(1.0, 6.60519095936942)	(2.0, 0.8187083569220049)	(3.0, 0.49645081217610937)	(4.0, 0.352741366546183)	(5.0, 0.37560423289639855)	(6.0, 0.2939511387884858)	(7.0, 0.2743543962025868)	(8.0, 0.1829029308017245)	(9.0, 0.21556416844488963)	('>10', 3.9726952053303144)	('>50', 1.5601184514218527)	('>100', 6.819666419892871)	('>500', 0.8415712232722204)	('>1k', 11.889779210033533)	('>5k', 12.929495275007621)	('>10k+', 52.37120585289379)
sample13226_S42_L001_R1_001	(1.0, 2.796215223838441)	(2.0, 1.008209353874115)	(3.0, 0.6926066694092581)	(4.0, 0.5231390800857163)	(5.0, 0.3960383880930598)	(6.0, 0.34630333470462904)	(7.0, 0.32665491855117496)	(8.0, 0.304550450378539)	(9.0, 0.25420138398531283)	('>10', 5.035520652327416)	('>50', 2.259567857647225)	('>100', 8.69074006987468)	('>500', 1.382143273794539)	('>1k', 21.732990304734653)	('>5k', 26.18274255048722)	('>10k+', 28.06837648821402)
sample13226_S42_L001_R2_001	(1.0, 6.003205147885033)	(2.0, 0.7380436317641207)	(3.0, 0.44208936345271793)	(4.0, 0.419984895280082)	(5.0, 0.28551604722988033)	(6.0, 0.2873580862442666)	(7.0, 0.25788546201408546)	(8.0, 0.2259567857647225)	(9.0, 0.13262680903581536)	('>10', 3.552679245746425)	('>50', 1.8469511184246883)	('>100', 3.9640679589593706)	('>500', 1.9642276023406176)	('>1k', 11.066356385428243)	('>5k', 0.0)	('>10k+', 68.81305146042993)
sample13227_S43_L001_R1_001	(1.0, 1.574907549817028)	(2.0, 0.5935132998085907)	(3.0, 0.4534518752802434)	(4.0, 0.353890139772141)	(5.0, 0.2856674493392283)	(6.0, 0.26180156116658393)	(7.0, 0.2379356729939395)	(8.0, 0.1909271053811551)	(9.0, 0.15187383382591885)	('>10', 3.493098177996133)	('>50', 2.0119666938271727)	('>100', 5.343066115742325)	('>500', 2.229893591888491)	('>1k', 9.970155586305319)	('>5k', 11.970550940412423)	('>10k+', 60.87730040644331)
sample13227_S43_L001_R2_001	(1.0, 3.6953555535198572)	(2.0, 0.4305502654176048)	(3.0, 0.23070358566889573)	(4.0, 0.17453437411105593)	(5.0, 0.1579005732634553)	(6.0, 0.10703489241064756)	(7.0, 0.08943681325304109)	(8.0, 0.08678504790052505)	(9.0, 0.1063116836781432)	('>10', 2.0495735479174)	('>50', 1.3343201114705727)	('>100', 3.609534783929338)	('>500', 1.0643221846689392)	('>1k', 2.1187605166603185)	('>5k', 2.0351093732673124)	('>10k+', 82.7097666928629)
