#Classification	sample12835	sample12836	sample12837	sample12838	sample12839	sample12840	sample12841	sample12842	sample12843	sample12844	sample12973	sample12974	sample12975	sample13079	sample13080	sample13081	sample13082	sample13083	sample13084	sample13085	sample13086	sample13087	sample13088	sample13225	sample13226	sample13227	sample13228	sample13229	sample13230	sample13231	sample13232	sample13233	sample13234	sample5278	sample5279	sample5280	sample5281	sample5282	sample5428	sample5429	sample5430	sample5431	sample5432	sample5926	sample5927	sample5928	sample5929	sample5930	sample6076	sample6077	sample6078	sample6079	sample6080	sample6285	sample6286	sample6287	sample6288	sample6289	sample6290	sample6291	sample6292	sample6293	sample6294	sample6615	sample6616	sample6617	sample6618	sample6619	sample6620	sample6621	sample6622	sample6623	sample6624
Nitrosomonas_eutropha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosomonas_sp._Is79A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	38	66	89	67	88	0	0	0	0	0	75	70	23	45	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usitatibacter_rugosus	0	0	0	0	0	0	0	0	0	0	0	0	0	23	65	9	20	7	2	0	61	4	5	0	0	0	0	0	0	0	0	0	0	58	51	138	261	214	0	0	0	0	0	86	31	270	233	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rugosibacter_aromaticivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfuricystis_thermophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methyloversatilis_sp._RAC08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sterolibacterium_denitrificans	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gallionella_capsiferriformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sideroxydans_sp._CL21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferriphaselus_amnicola	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	4	10	0	8	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sideroxyarcus_emersonii	0	0	2	0	1	0	0	0	0	49	0	0	0	1	13	1	0	1	0	114	3	3	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	155	0	0	0	0	0	0	0	0	0	0	0	0
Methyloradius_palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	11	0	16	5	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
