Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample13087_S49_L001_R2_001	(1.0, 6.870579382994733)	(2.0, 2.2452972159518434)	(3.0, 1.3769751693002257)	(4.0, 1.2069224981188864)	(5.0, 1.019563581640331)	(6.0, 0.7223476297968396)	(7.0, 0.6531226486079759)	(8.0, 0.8066215199398044)	(9.0, 0.7516930022573363)	('>10', 15.963882618510159)	('>50', 10.528969149736644)	('>100', 51.35515425131678)	('>500', 6.498871331828443)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13088_S50_L001_R1_001	(1.0, 4.1816073025401295)	(2.0, 1.4590914322646906)	(3.0, 0.8074583654280326)	(4.0, 0.5737204175409705)	(5.0, 0.44268550736186)	(6.0, 0.39841695662567395)	(7.0, 0.316077452256368)	(8.0, 0.4249780870673856)	(9.0, 0.22311349571037745)	('>10', 7.457480057017893)	('>50', 5.1085907549558645)	('>100', 20.524670863325277)	('>500', 11.39295421746483)	('>1k', 46.68915509044065)	('>5k', 0.0)	('>10k+', 0.0)
sample13088_S50_L001_R2_001	(1.0, 7.669969100551587)	(2.0, 2.4082091600485183)	(3.0, 1.5246088873542458)	(4.0, 1.1616067713175204)	(5.0, 1.0004692466378036)	(6.0, 0.9402640176365906)	(7.0, 0.8490708031200475)	(8.0, 0.7862094610746634)	(9.0, 0.8685489654439693)	('>10', 17.975687711935688)	('>50', 12.927302185981034)	('>100', 45.97643142358805)	('>500', 5.911622265310278)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample13225_S41_L001_R1_001	(1.0, 2.7781144699522438)	(2.0, 0.9527041768684396)	(3.0, 0.6545295871615233)	(4.0, 0.4412014254199898)	(5.0, 0.4121112215461443)	(6.0, 0.32726479358076166)	(7.0, 0.34787035465806887)	(8.0, 0.25211510023999417)	(9.0, 0.26181183486460935)	('>10', 5.851979345955249)	('>50', 3.883542217158372)	('>100', 9.23250345446171)	('>500', 16.68808028896269)	('>1k', 19.355894402559937)	('>5k', 6.118639548132167)	('>10k+', 32.441637778478096)
sample13225_S41_L001_R2_001	(1.0, 1.5539017235945796)	(2.0, 0.589076628445371)	(3.0, 0.35999127293883787)	(4.0, 0.2957504060507624)	(5.0, 0.38786938498460644)	(6.0, 0.18908632517999563)	(7.0, 0.22908535550653317)	(8.0, 0.242418365615379)	(9.0, 0.15272357033768877)	('>10', 3.6071852803568403)	('>50', 1.4654190201449662)	('>100', 6.696807350124844)	('>500', 2.0835858524641826)	('>1k', 11.615475988460885)	('>5k', 13.946328573852753)	('>10k+', 56.58529490194177)
sample13226_S42_L001_R1_001	(1.0, 2.1011305888226963)	(2.0, 0.8467446839070633)	(3.0, 0.6299287995786795)	(4.0, 0.4705657047884164)	(5.0, 0.3727591702175682)	(6.0, 0.348820507910018)	(7.0, 0.2968394126136231)	(8.0, 0.2681130178445628)	(9.0, 0.1908253366801863)	('>10', 4.579808080324471)	('>50', 2.41712093128236)	('>100', 8.140513108127518)	('>500', 2.7392669297639647)	('>1k', 20.737721176140678)	('>5k', 33.74325442694262)	('>10k+', 22.11658812505557)
sample13226_S42_L001_R2_001	(1.0, 1.1976170771577284)	(2.0, 0.46646193410712206)	(3.0, 0.361131819953901)	(4.0, 0.3693393613164896)	(5.0, 0.2838441387895244)	(6.0, 0.21749984610859946)	(7.0, 0.16757063615285178)	(8.0, 0.14226405028487007)	(9.0, 0.08617918430718091)	('>10', 3.292592009958484)	('>50', 1.557380973551198)	('>100', 3.6414125178685017)	('>500', 2.0990787034820495)	('>1k', 11.82980295061112)	('>5k', 0.0)	('>10k+', 74.28782479635038)
sample13227_S43_L001_R1_001	(1.0, 1.238034225213611)	(2.0, 0.5204172829156023)	(3.0, 0.39624477012266984)	(4.0, 0.31003582811993324)	(5.0, 0.2662722673479018)	(6.0, 0.2499268410354564)	(7.0, 0.17347242763853407)	(8.0, 0.17505424308812556)	(9.0, 0.15422700633517086)	('>10', 3.199221746798801)	('>50', 1.743424261358094)	('>100', 5.3394180500960955)	('>500', 3.107740086630759)	('>1k', 11.435734792821721)	('>5k', 12.157306273743709)	('>10k+', 59.53346989673381)
sample13227_S43_L001_R2_001	(1.0, 0.5343899860536605)	(2.0, 0.18559967941873556)	(3.0, 0.12259069734334095)	(4.0, 0.10756345057222173)	(5.0, 0.08304531110355355)	(6.0, 0.09016348062671528)	(7.0, 0.07197260295641307)	(8.0, 0.0822544033787578)	(9.0, 0.07118169523161733)	('>10', 1.7850787348640034)	('>50', 1.2266978811582052)	('>100', 3.055276540885975)	('>500', 0.7278987427203535)	('>1k', 2.202150741739628)	('>5k', 2.10434181977322)	('>10k+', 87.5497942321736)
sample13228_S44_L001_R1_001	(1.0, 1.7374530533232453)	(2.0, 0.7974970860683394)	(3.0, 0.5602928245710898)	(4.0, 0.4744085229944993)	(5.0, 0.3817080070070684)	(6.0, 0.26583236202277977)	(7.0, 0.33399450613118487)	(8.0, 0.23993074726158586)	(9.0, 0.2392491258205018)	('>10', 3.534207172020803)	('>50', 2.252758862782788)	('>100', 6.759639831230531)	('>500', 0.0)	('>1k', 25.46605866034122)	('>5k', 0.0)	('>10k+', 56.95696923842436)
